host,address,nic_mac,nic_vendor,protocol,port,service,product,product_version,extrainfo,state,os
,192.168.2.54,88:D7:F6:53:3C:C1,Asustek Computer,tcp,135,msrpc,Microsoft Windows RPC,,,open,Windows,
,192.168.2.54,88:D7:F6:53:3C:C1,Asustek Computer,tcp,139,tcpwrapped,,,,open,Windows,
,192.168.2.54,88:D7:F6:53:3C:C1,Asustek Computer,tcp,443,https,,,,open,Windows,
,192.168.2.54,88:D7:F6:53:3C:C1,Asustek Computer,tcp,445,tcpwrapped,,,,open,Windows,
,192.168.2.54,88:D7:F6:53:3C:C1,Asustek Computer,tcp,902,tcpwrapped,,,,open,Windows,
,192.168.2.54,88:D7:F6:53:3C:C1,Asustek Computer,tcp,912,tcpwrapped,,,,open,Windows,
,192.168.2.54,88:D7:F6:53:3C:C1,Asustek Computer,tcp,3389,ms-wbt-server,Microsoft Terminal Service,,,open,Windows,
,192.168.2.58,88:D7:F6:53:3A:AA,Asustek Computer,tcp,135,msrpc,Microsoft Windows RPC,,,open,Windows,
,192.168.2.58,88:D7:F6:53:3A:AA,Asustek Computer,tcp,139,tcpwrapped,,,,open,Windows,
,192.168.2.58,88:D7:F6:53:3A:AA,Asustek Computer,tcp,445,tcpwrapped,,,,open,Windows,
,192.168.2.58,88:D7:F6:53:3A:AA,Asustek Computer,tcp,3389,ms-wbt-server,Microsoft Terminal Service,,,open,Windows,
,192.168.2.58,88:D7:F6:53:3A:AA,Asustek Computer,tcp,49153,tcpwrapped,,,,open,Windows,
,192.168.2.58,88:D7:F6:53:3A:AA,Asustek Computer,tcp,49154,tcpwrapped,,,,open,Windows,
,192.168.2.59,E0:3F:49:4D:04:1F,Asustek Computer,tcp,135,msrpc,Microsoft Windows RPC,,,open,Windows,
,192.168.2.59,E0:3F:49:4D:04:1F,Asustek Computer,tcp,139,tcpwrapped,,,,open,Windows,
,192.168.2.59,E0:3F:49:4D:04:1F,Asustek Computer,tcp,445,tcpwrapped,,,,open,Windows,
,192.168.2.59,E0:3F:49:4D:04:1F,Asustek Computer,tcp,3389,ms-wbt-server,Microsoft Terminal Service,,,open,Windows,
,192.168.2.59,E0:3F:49:4D:04:1F,Asustek Computer,tcp,49153,tcpwrapped,,,,open,Windows,
,192.168.2.59,E0:3F:49:4D:04:1F,Asustek Computer,tcp,49154,tcpwrapped,,,,open,Windows,
,192.168.2.62,88:D7:F6:53:39:AF,Asustek Computer,tcp,135,msrpc,Microsoft Windows RPC,,,open,Windows,
,192.168.2.62,88:D7:F6:53:39:AF,Asustek Computer,tcp,139,tcpwrapped,,,,open,Windows,
,192.168.2.62,88:D7:F6:53:39:AF,Asustek Computer,tcp,445,tcpwrapped,,,,open,Windows,
,192.168.2.62,88:D7:F6:53:39:AF,Asustek Computer,tcp,902,tcpwrapped,,,,open,Windows,
,192.168.2.62,88:D7:F6:53:39:AF,Asustek Computer,tcp,912,tcpwrapped,,,,open,Windows,
,192.168.2.62,88:D7:F6:53:39:AF,Asustek Computer,tcp,3389,ms-wbt-server,Microsoft Terminal Service,,,open,Windows,
,192.168.2.95,00:01:3C:D1:AF:8C,TIW Systems,tcp,80,http,,,,open,Linux,
,192.168.2.95,00:01:3C:D1:AF:8C,TIW Systems,tcp,100,tcpwrapped,,,,open,Linux,
,192.168.2.97,00:01:3C:D0:43:70,TIW Systems,tcp,80,http,,,,open,embedded,
,192.168.2.97,00:01:3C:D0:43:70,TIW Systems,tcp,100,tcpwrapped,,,,open,embedded,
,192.168.2.102,D0:17:C2:CB:A6:10,Asustek Computer,tcp,135,msrpc,Microsoft Windows RPC,,,open,Windows,
,192.168.2.102,D0:17:C2:CB:A6:10,Asustek Computer,tcp,139,tcpwrapped,,,,open,Windows,
